Server ID,Mod ID,Mod Username,All Time Tickets Closed,All Time Ticket Replies,All Time Ticket Chats
1329090603740561500,247246201114591242,9924,1,1,3
1329090603740561500,429711831695753237,luciniv,2,5,8
1329090603740561500,980931379447611392,hozcol,1,4,6
